field_id,date,crop_type,variety,crop_age_days,growth_stage,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,wind_speed,solar_radiation,irrigation_amount,fertilizer_amount,disease_score,pest_count,ndvi
F-034,2026-09-01,Wheat,WB9719,50,Grain/Pod Filling,53.2,21.5,6.68,82.0,62.7,158.8,21.4,57.0,0.0,9.3,23.1,0.0,0.0,7.7,138,0.629
F-035,2026-09-01,Soybean,Pioneer P31T77E,69,Grain/Pod Filling,61.0,22.9,6.82,113.3,48.7,67.4,24.6,83.2,0.0,13.7,26.8,0.0,0.0,5.5,6,0.764
F-036,2026-09-01,Wheat,SY Monument,76,Maturity,21.7,23.7,6.83,35.3,16.3,137.7,24.7,53.4,0.0,14.7,28.6,0.0,0.0,3.3,13,0.751
F-037,2026-09-01,Wheat,WB9719,68,Grain/Pod Filling,21.9,26.2,6.65,72.6,24.3,183.5,28.6,56.9,0.0,12.0,28.3,0.0,0.0,8.0,11,0.678
F-038,2026-09-01,Cotton,Deltapine DP1646,53,Grain/Pod Filling,51.5,20.6,6.44,113.6,51.1,62.2,22.0,61.5,0.0,11.1,25.5,0.0,0.0,4.9,7,0.772
F-039,2026-09-01,Cotton,Deltapine DP1646,65,Grain/Pod Filling,38.8,26.5,6.0,200.7,43.0,179.0,28.2,64.1,0.0,15.0,23.0,0.0,89.0,6.7,3,0.747
F-040,2026-09-01,Soybean,Asgrow AG36X6,63,Grain/Pod Filling,85.0,22.5,6.12,37.5,58.6,113.0,24.6,81.1,51.1,10.2,8.0,26.8,0.0,7.5,3,0.781
F-041,2026-09-01,Wheat,WB9719,98,Maturity,31.6,23.1,5.86,81.4,23.2,143.5,26.4,74.6,0.0,15.2,27.4,0.0,0.0,61.5,5,0.659
F-042,2026-09-01,Rice,Titan Hybrid,55,Grain/Pod Filling,25.3,31.8,6.67,86.4,36.5,75.4,35.3,66.0,0.0,14.5,19.6,0.0,0.0,5.1,16,0.731
F-043,2026-09-01,Rice,Diamond Long-Grain,50,Grain/Pod Filling,61.6,22.0,7.26,91.1,16.4,166.0,23.1,60.2,0.0,13.8,24.3,31.4,0.0,2.4,8,0.788
F-044,2026-09-01,Wheat,LCS Sonic,89,Maturity,49.6,22.9,7.28,119.9,48.2,167.2,27.3,54.6,0.0,12.8,18.0,31.8,0.0,65.4,7,0.663
F-045,2026-09-01,Rice,Diamond Long-Grain,86,Maturity,38.8,25.6,6.36,21.1,43.1,94.4,27.0,67.1,0.0,4.1,18.6,0.0,0.0,2.9,119,0.682
F-046,2026-09-01,Rice,Titan Hybrid,59,Grain/Pod Filling,25.1,24.1,6.47,85.9,27.0,168.5,25.3,63.0,0.0,17.4,19.3,0.0,0.0,3.8,15,0.704
F-047,2026-09-01,Rice,Jupiter Medium,75,Maturity,65.5,22.8,6.39,110.7,31.9,82.7,25.1,94.6,6.7,11.3,16.0,0.0,0.0,6.0,5,0.772
F-048,2026-09-01,Wheat,WB9719,55,Grain/Pod Filling,60.6,20.4,7.06,102.7,55.6,146.2,22.2,76.0,0.0,23.3,27.2,0.0,0.0,7.4,3,0.811
F-049,2026-09-01,Wheat,SY Monument,89,Maturity,52.7,22.2,6.14,43.2,19.2,112.4,22.4,75.6,11.6,14.4,12.7,0.0,0.0,5.5,12,0.782
F-050,2026-09-01,Wheat,LCS Sonic,56,Grain/Pod Filling,35.8,21.2,6.04,157.3,27.3,170.2,22.4,58.7,0.0,4.5,31.5,0.0,0.0,3.0,22,0.778
F-051,2026-09-01,Wheat,SY Monument,83,Maturity,30.8,24.1,5.87,33.3,53.0,187.3,26.6,82.4,0.0,11.9,22.2,0.0,0.0,2.8,2,0.789
F-052,2026-09-01,Rice,Titan Hybrid,75,Maturity,63.7,18.5,6.11,121.0,23.9,137.7,18.9,97.7,31.8,8.3,11.3,0.0,0.0,5.3,8,0.766
F-053,2026-09-01,Rice,Jupiter Medium,94,Maturity,42.5,17.6,7.02,129.0,56.9,112.7,18.3,64.8,0.0,8.0,29.3,0.0,0.0,54.4,8,0.694
F-054,2026-09-01,Wheat,SY Monument,75,Maturity,37.7,21.4,6.2,42.7,28.8,88.7,21.3,54.2,0.0,15.7,21.8,0.0,0.0,2.0,2,0.817
F-055,2026-09-01,Soybean,Brevant B281EE,89,Maturity,51.7,25.7,6.29,72.7,55.3,202.2,28.5,58.1,0.0,11.7,23.1,21.4,0.0,6.4,2,0.78
F-056,2026-09-01,Wheat,SY Monument,45,Flowering,61.4,21.3,6.48,149.5,27.4,94.2,22.1,64.3,0.0,11.7,17.6,34.9,0.0,4.5,5,0.775
F-057,2026-09-01,Cotton,Deltapine DP1646,59,Grain/Pod Filling,47.4,17.8,7.38,111.8,35.9,179.6,19.1,77.0,0.0,10.2,22.5,32.0,0.0,3.0,9,0.79
F-058,2026-09-01,Wheat,LCS Sonic,56,Grain/Pod Filling,42.5,18.4,5.85,107.0,50.9,210.6,18.7,78.4,4.7,22.0,25.8,0.0,0.0,2.4,2,0.816
F-059,2026-09-01,Corn,Dekalb DKC64-35,66,Grain/Pod Filling,29.9,22.6,6.29,96.5,40.1,183.6,24.9,65.0,0.0,12.9,17.6,0.0,0.0,4.0,2,0.788
F-060,2026-09-01,Soybean,Pioneer P31T77E,60,Grain/Pod Filling,49.6,22.8,6.34,48.4,52.1,209.5,24.4,60.0,0.0,13.0,25.0,0.0,0.0,5.4,2,0.754
F-061,2026-09-01,Rice,Jupiter Medium,49,Flowering,21.7,21.0,6.57,75.5,56.9,176.4,23.0,72.8,0.0,4.5,23.3,0.0,0.0,4.8,116,0.628
F-062,2026-09-01,Wheat,WB9719,48,Flowering,67.7,18.2,6.72,117.3,50.8,195.1,20.7,94.2,43.8,20.1,8.0,0.0,0.0,5.8,14,0.779
F-063,2026-09-01,Soybean,Pioneer P31T77E,70,Grain/Pod Filling,31.8,18.9,6.88,131.1,60.2,100.4,21.9,55.1,0.0,19.8,19.1,0.0,0.0,53.4,8,0.654
F-064,2026-09-01,Rice,Jupiter Medium,44,Flowering,42.0,29.5,6.14,62.9,42.2,80.5,32.3,77.1,0.0,14.5,17.3,0.0,0.0,5.3,7,0.794
F-065,2026-09-01,Rice,Titan Hybrid,98,Maturity,21.6,22.9,7.22,85.2,19.8,174.3,24.1,75.6,26.0,23.6,10.9,0.0,0.0,6.5,21,0.701
F-066,2026-09-01,Soybean,Brevant B281EE,48,Flowering,40.7,23.5,6.56,36.0,53.4,88.1,25.4,71.4,0.0,8.9,20.0,0.0,0.0,4.1,2,0.805
F-067,2026-09-01,Soybean,Pioneer P31T77E,72,Grain/Pod Filling,54.9,23.8,5.93,54.3,53.5,152.0,25.5,79.3,21.2,7.9,15.1,0.0,0.0,5.3,4,0.782
F-068,2026-09-01,Corn,NK Corn N78N,58,Grain/Pod Filling,37.4,22.1,5.95,85.7,40.0,81.3,24.4,63.8,0.0,16.1,20.2,0.0,0.0,10.3,2,0.824
F-069,2026-09-01,Corn,Dekalb DKC64-35,83,Maturity,49.3,22.4,6.56,133.6,21.2,204.9,24.5,74.3,0.0,19.6,25.2,0.0,0.0,2.0,27,0.776
F-070,2026-09-01,Soybean,Pioneer P31T77E,85,Maturity,36.6,25.3,6.53,31.0,31.6,126.0,25.9,63.0,0.0,14.4,23.2,0.0,0.0,5.2,13,0.785
F-071,2026-09-01,Corn,Dekalb DKC64-35,97,Maturity,34.4,26.2,7.09,96.9,47.1,195.9,27.7,61.9,0.0,9.7,27.1,0.0,0.0,6.4,23,0.783
F-072,2026-09-01,Wheat,WB9719,76,Maturity,37.5,20.5,7.13,41.7,28.2,191.9,24.1,67.9,0.0,15.1,26.7,0.0,0.0,2.9,9,0.78
F-073,2026-09-01,Corn,NK Corn N78N,91,Maturity,46.4,26.9,7.0,31.0,15.3,192.6,29.8,56.7,0.0,12.2,24.8,0.0,0.0,4.9,10,0.778
F-074,2026-09-01,Wheat,WB9719,47,Flowering,43.7,26.8,6.13,123.4,62.1,147.7,28.9,45.2,0.0,11.9,21.3,0.0,0.0,7.5,8,0.776
F-075,2026-09-01,Cotton,PhytoGen PHY400,55,Grain/Pod Filling,47.9,23.6,6.1,80.6,59.5,86.7,24.5,60.9,0.0,5.8,22.0,0.0,0.0,4.6,5,0.786
F-076,2026-09-01,Cotton,Deltapine DP1646,68,Grain/Pod Filling,8.0,26.3,5.88,99.4,49.3,175.8,29.7,68.1,0.0,22.1,23.4,0.0,0.0,2.0,2,0.681
F-077,2026-09-01,Rice,Titan Hybrid,98,Maturity,66.1,22.8,5.8,44.5,45.0,93.6,22.9,86.2,23.0,18.4,8.0,23.0,0.0,5.1,2,0.778
F-078,2026-09-01,Wheat,SY Monument,75,Maturity,38.9,25.1,6.78,28.3,56.3,182.5,27.7,67.2,0.0,17.3,23.7,21.7,0.0,6.0,134,0.705
F-079,2026-09-01,Soybean,Pioneer P31T77E,73,Grain/Pod Filling,50.2,25.0,7.12,44.1,16.8,108.3,27.4,54.5,0.0,9.5,27.2,21.2,0.0,4.4,3,0.796
F-080,2026-09-01,Soybean,Asgrow AG36X6,79,Maturity,34.1,21.7,6.41,85.6,54.1,167.6,23.9,68.6,0.0,19.1,27.1,0.0,0.0,6.0,5,0.787
F-081,2026-09-01,Rice,Diamond Long-Grain,89,Maturity,8.0,19.6,7.33,48.6,34.6,188.3,20.0,98.0,0.4,12.7,19.0,0.0,0.0,8.6,2,0.678
F-082,2026-09-01,Soybean,Brevant B281EE,53,Grain/Pod Filling,51.6,24.3,5.77,44.4,52.2,95.5,27.0,69.9,0.0,15.8,21.1,24.8,0.0,5.4,2,0.765
F-083,2026-09-01,Corn,Pioneer P1197,68,Grain/Pod Filling,27.7,24.2,6.79,125.8,26.0,126.5,27.1,79.6,0.0,22.9,20.5,0.0,0.0,6.6,4,0.783
F-084,2026-09-01,Rice,Diamond Long-Grain,73,Grain/Pod Filling,44.6,24.5,5.77,121.0,14.8,183.4,26.1,60.6,0.0,18.0,11.9,0.0,0.0,3.6,2,0.762
