field_id,date,crop_type,variety,crop_age_days,growth_stage,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,wind_speed,solar_radiation,irrigation_amount,fertilizer_amount,disease_score,pest_count,ndvi,actual_yield
F-002,2026-08-23,Rice,Diamond Long-Grain,74,Grain/Pod Filling,48.3,20.8,6.03,91.7,47.2,156.7,23.6,65.7,0.0,12.0,17.2,0.0,0.0,39.2,10,0.725,5.46
F-002,2026-08-24,Rice,Diamond Long-Grain,75,Maturity,39.0,26.3,6.02,91.3,47.1,156.5,29.8,65.6,0.0,8.6,24.2,0.0,0.0,40.9,10,0.701,5.2
F-002,2026-08-25,Rice,Diamond Long-Grain,76,Maturity,52.4,25.1,6.07,90.9,47.0,156.4,27.5,51.9,0.0,4.0,19.1,23.6,0.0,41.8,6,0.704,4.8
F-002,2026-08-26,Rice,Diamond Long-Grain,77,Maturity,48.9,19.5,6.04,90.5,46.9,156.2,20.4,74.5,0.0,20.3,30.5,0.0,0.0,44.3,5,0.683,5.06
F-002,2026-08-27,Rice,Diamond Long-Grain,78,Maturity,42.4,21.8,6.13,90.1,46.8,156.1,23.1,72.0,0.0,17.0,30.5,0.0,0.0,46.0,6,0.693,5.27
F-002,2026-08-28,Rice,Diamond Long-Grain,79,Maturity,37.2,20.7,6.01,89.7,46.7,155.9,21.0,76.6,0.0,14.1,21.2,0.0,0.0,48.9,4,0.71,5.15
F-002,2026-08-29,Rice,Diamond Long-Grain,80,Maturity,50.5,24.9,6.1,89.3,46.6,155.8,26.7,69.8,0.0,16.3,24.0,20.5,0.0,51.0,5,0.683,5.04
F-002,2026-08-30,Rice,Diamond Long-Grain,81,Maturity,44.9,23.1,6.14,88.9,46.5,155.6,24.4,58.8,0.0,12.2,25.6,0.0,0.0,51.9,5,0.692,4.96
F-002,2026-08-31,Rice,Diamond Long-Grain,82,Maturity,43.9,15.6,6.04,88.5,46.4,155.5,16.4,98.0,3.5,16.6,24.8,0.0,0.0,54.8,4,0.717,4.71
F-002,2026-09-01,Rice,Diamond Long-Grain,83,Maturity,36.7,24.8,6.05,88.1,46.3,155.3,26.9,65.1,0.0,18.7,24.7,0.0,0.0,57.3,3,0.69,5.03
F-003,2026-08-18,Soybean,Brevant B281EE,82,Maturity,47.5,29.7,5.91,29.1,41.9,140.8,33.1,83.1,0.0,16.0,25.6,0.0,0.0,31.7,17,0.725,2.68
F-003,2026-08-19,Soybean,Brevant B281EE,83,Maturity,42.8,24.1,5.89,28.7,41.8,140.6,26.8,50.5,0.0,7.0,19.3,0.0,0.0,32.0,17,0.749,3.0
F-003,2026-08-20,Soybean,Brevant B281EE,84,Maturity,38.0,21.2,5.96,28.3,41.7,140.5,21.9,49.1,0.0,11.9,28.4,0.0,0.0,32.9,19,0.741,2.86
F-003,2026-08-21,Soybean,Brevant B281EE,85,Maturity,55.0,23.9,5.89,27.9,41.6,140.3,26.3,50.5,0.0,9.8,22.9,26.1,0.0,34.1,16,0.706,3.06
F-003,2026-08-22,Soybean,Brevant B281EE,86,Maturity,46.2,28.2,5.83,27.5,41.5,140.2,31.3,68.7,0.0,15.0,21.4,0.0,0.0,35.9,16,0.695,2.94
F-003,2026-08-23,Soybean,Brevant B281EE,87,Maturity,40.7,22.2,6.02,27.1,41.4,140.0,24.2,57.4,0.0,14.8,14.3,0.0,0.0,36.9,15,0.698,2.85
F-003,2026-08-24,Soybean,Brevant B281EE,88,Maturity,43.9,17.5,5.93,26.7,41.3,139.9,16.9,86.4,6.4,19.2,19.0,0.0,0.0,40.8,13,0.671,2.89
F-003,2026-08-25,Soybean,Brevant B281EE,89,Maturity,56.3,26.3,5.9,26.3,41.2,139.7,27.3,69.1,24.0,11.0,12.4,0.0,0.0,44.3,13,0.686,2.6
F-003,2026-08-26,Soybean,Brevant B281EE,90,Maturity,51.1,21.6,6.01,25.9,41.1,139.6,23.7,56.5,0.0,9.3,23.3,0.0,0.0,44.5,15,0.703,2.76
F-003,2026-08-27,Soybean,Brevant B281EE,91,Maturity,44.8,23.9,5.96,25.5,41.0,139.4,26.4,76.8,0.0,14.3,26.1,0.0,0.0,47.0,18,0.636,2.51
F-003,2026-08-28,Soybean,Brevant B281EE,92,Maturity,40.3,26.0,5.91,25.1,40.9,139.3,30.2,67.0,0.0,14.2,25.3,0.0,0.0,48.7,15,0.692,2.79
F-003,2026-08-29,Soybean,Brevant B281EE,93,Maturity,32.5,29.0,5.95,24.7,40.8,139.1,30.7,74.8,0.0,15.7,15.2,0.0,0.0,51.4,12,0.645,2.39
F-003,2026-08-30,Soybean,Brevant B281EE,94,Maturity,29.5,19.8,6.04,24.3,40.7,139.0,21.2,69.9,0.0,3.7,14.9,0.0,0.0,53.3,11,0.675,2.29
F-003,2026-08-31,Soybean,Brevant B281EE,95,Maturity,40.6,19.7,5.93,23.9,40.6,138.8,21.9,80.5,2.2,11.6,17.8,17.4,0.0,56.0,8,0.656,2.51
F-003,2026-09-01,Soybean,Brevant B281EE,96,Maturity,39.0,17.0,5.86,23.5,40.5,138.7,19.8,86.2,5.7,23.9,20.5,0.0,0.0,60.0,10,0.665,2.57
F-004,2026-08-18,Soybean,Asgrow AG36X6,71,Grain/Pod Filling,46.6,27.6,5.85,40.8,19.6,162.4,30.8,61.4,0.0,18.5,23.2,0.0,0.0,5.1,2,0.762,3.52
F-004,2026-08-19,Soybean,Asgrow AG36X6,72,Grain/Pod Filling,42.2,30.7,5.82,40.4,19.5,162.3,31.9,73.8,0.0,9.6,22.0,0.0,0.0,5.6,5,0.813,3.5
F-004,2026-08-20,Soybean,Asgrow AG36X6,73,Grain/Pod Filling,36.6,20.4,5.88,40.0,19.4,162.1,22.0,67.3,0.0,18.2,13.7,0.0,0.0,5.3,8,0.756,3.54
F-004,2026-08-21,Soybean,Asgrow AG36X6,74,Grain/Pod Filling,61.7,22.0,5.94,39.6,19.3,162.0,23.1,59.5,0.0,14.2,18.7,34.6,0.0,4.9,7,0.783,3.53
F-004,2026-08-22,Soybean,Asgrow AG36X6,75,Maturity,55.4,26.0,5.85,39.2,19.2,161.8,28.0,67.9,0.0,22.9,20.3,0.0,0.0,5.2,6,0.767,3.75
F-004,2026-08-23,Soybean,Asgrow AG36X6,76,Maturity,54.1,23.6,5.87,38.8,19.1,161.7,25.2,68.4,7.9,10.7,19.0,0.0,0.0,5.0,8,0.754,3.55
F-004,2026-08-24,Soybean,Asgrow AG36X6,77,Maturity,47.6,25.2,5.87,38.4,19.0,161.5,26.9,64.3,0.0,8.9,21.1,0.0,0.0,5.2,5,0.797,3.52
F-004,2026-08-25,Soybean,Asgrow AG36X6,78,Maturity,40.2,24.7,5.93,38.0,18.9,161.4,26.3,63.4,0.0,13.4,22.5,0.0,0.0,5.5,6,0.774,3.46
F-004,2026-08-26,Soybean,Asgrow AG36X6,79,Maturity,37.6,21.1,5.86,37.6,18.8,161.2,21.5,62.3,0.0,17.0,20.0,0.0,0.0,5.8,6,0.788,3.73
F-004,2026-08-27,Soybean,Asgrow AG36X6,80,Maturity,31.2,18.7,5.86,37.2,18.7,161.1,20.5,65.2,0.0,18.1,13.2,0.0,0.0,5.9,7,0.79,2.99
F-004,2026-08-28,Soybean,Asgrow AG36X6,81,Maturity,25.8,26.0,5.92,36.8,18.6,160.9,27.8,64.9,0.0,19.3,25.3,0.0,0.0,5.8,4,0.739,2.92
F-004,2026-08-29,Soybean,Asgrow AG36X6,82,Maturity,36.5,26.2,5.94,36.4,18.5,160.8,26.6,79.9,22.5,12.7,9.1,0.0,0.0,5.5,3,0.813,3.82
F-004,2026-08-30,Soybean,Asgrow AG36X6,83,Maturity,26.3,28.9,5.94,36.0,18.4,160.6,31.5,53.2,0.0,10.6,25.3,0.0,0.0,5.9,2,0.733,2.98
F-004,2026-08-31,Soybean,Asgrow AG36X6,84,Maturity,21.8,25.2,5.88,35.6,18.3,160.5,27.7,67.2,0.0,15.3,17.4,0.0,0.0,5.7,5,0.724,2.91
F-004,2026-09-01,Soybean,Asgrow AG36X6,85,Maturity,40.5,22.0,5.82,35.2,18.2,160.3,24.5,60.3,0.0,18.8,24.2,29.9,0.0,6.0,2,0.773,3.69
F-005,2026-08-18,Corn,Dekalb DKC64-35,42,Flowering,50.3,22.8,7.29,78.2,33.1,174.3,25.1,62.3,0.0,18.0,21.4,0.0,0.0,4.1,12,0.766,7.29
F-005,2026-08-19,Corn,Dekalb DKC64-35,43,Flowering,44.0,23.5,7.31,77.8,33.0,174.2,26.0,87.8,0.0,5.9,16.6,0.0,0.0,3.5,13,0.758,6.86
F-005,2026-08-20,Corn,Dekalb DKC64-35,44,Flowering,40.8,18.4,7.25,77.4,32.9,174.0,22.6,86.6,0.4,26.8,17.4,0.0,0.0,2.2,12,0.772,6.96
F-005,2026-08-21,Corn,Dekalb DKC64-35,45,Flowering,33.7,25.2,7.23,77.0,32.8,173.9,26.8,59.3,0.0,12.9,24.1,0.0,0.0,2.9,14,0.777,6.96
F-005,2026-08-22,Corn,Dekalb DKC64-35,46,Flowering,41.9,24.2,7.33,76.6,32.7,173.7,25.7,65.3,0.0,17.6,17.5,17.1,0.0,3.2,10,0.818,7.49
F-005,2026-08-23,Corn,Dekalb DKC64-35,47,Flowering,33.9,25.6,7.21,76.2,32.6,173.6,27.5,62.2,0.0,8.7,22.9,0.0,0.0,3.5,13,0.785,7.55
F-005,2026-08-24,Corn,Dekalb DKC64-35,48,Flowering,51.9,27.9,7.25,75.8,32.5,173.4,29.2,63.2,0.0,7.8,18.7,26.8,0.0,2.8,14,0.768,7.09
F-005,2026-08-25,Corn,Dekalb DKC64-35,49,Flowering,44.8,27.2,7.31,75.4,32.4,173.3,27.7,66.7,0.0,9.1,16.7,0.0,0.0,3.9,10,0.726,7.33
F-005,2026-08-26,Corn,Dekalb DKC64-35,50,Grain/Pod Filling,38.0,23.3,7.27,75.0,32.3,173.1,23.8,60.8,0.0,14.1,23.4,0.0,0.0,3.6,8,0.787,7.35
F-005,2026-08-27,Corn,Dekalb DKC64-35,51,Grain/Pod Filling,49.0,29.5,7.32,74.6,32.2,173.0,30.8,63.5,0.0,10.6,19.8,20.3,0.0,4.0,5,0.769,7.37
F-005,2026-08-28,Corn,Dekalb DKC64-35,52,Grain/Pod Filling,42.0,19.6,7.28,74.2,32.1,172.8,19.6,52.2,0.0,12.3,22.8,0.0,0.0,4.3,5,0.782,7.13
F-005,2026-08-29,Corn,Dekalb DKC64-35,53,Grain/Pod Filling,34.9,25.4,7.24,73.8,32.0,172.7,27.5,70.4,0.0,14.7,15.0,0.0,0.0,3.7,4,0.791,7.83
F-005,2026-08-30,Corn,Dekalb DKC64-35,54,Grain/Pod Filling,27.6,18.5,7.3,73.4,31.9,172.5,20.1,74.9,0.0,13.8,29.1,0.0,0.0,3.5,2,0.755,7.21
F-005,2026-08-31,Corn,Dekalb DKC64-35,55,Grain/Pod Filling,22.1,27.0,7.19,73.0,31.8,172.4,29.5,56.3,0.0,14.2,24.8,0.0,0.0,3.9,5,0.763,6.51
F-005,2026-09-01,Corn,Dekalb DKC64-35,56,Grain/Pod Filling,25.7,20.7,7.34,72.6,31.7,172.2,24.5,87.1,10.1,8.6,22.2,0.0,0.0,3.9,7,0.775,6.67
F-006,2026-08-18,Wheat,WB9719,47,Flowering,24.5,30.0,5.89,121.7,32.3,171.7,30.5,58.5,0.0,19.2,23.1,0.0,0.0,5.0,16,0.753,3.76
F-006,2026-08-19,Wheat,WB9719,48,Flowering,22.1,18.7,5.83,121.3,32.2,171.5,20.6,69.8,4.9,22.7,20.7,0.0,0.0,5.0,19,0.699,3.72
F-006,2026-08-20,Wheat,WB9719,49,Flowering,15.1,20.4,5.89,120.9,32.1,171.4,21.8,54.3,0.0,17.4,25.9,0.0,0.0,4.9,19,0.705,3.24
F-006,2026-08-21,Wheat,WB9719,50,Grain/Pod Filling,8.6,22.2,5.88,120.5,32.0,171.2,24.3,71.0,0.0,11.9,21.6,0.0,0.0,5.5,21,0.691,2.92
F-006,2026-08-22,Wheat,WB9719,51,Grain/Pod Filling,8.0,24.3,5.89,120.1,31.9,171.1,27.6,59.5,0.0,17.2,31.4,0.0,0.0,5.1,17,0.668,2.67
F-006,2026-08-23,Wheat,WB9719,52,Grain/Pod Filling,8.0,21.3,5.97,119.7,31.8,170.9,23.9,64.7,0.0,13.7,21.2,0.0,0.0,5.2,14,0.633,2.8
F-006,2026-08-24,Wheat,WB9719,53,Grain/Pod Filling,8.0,22.0,5.92,119.3,31.7,170.8,22.7,56.6,0.0,14.0,19.9,0.0,0.0,5.2,17,0.688,2.9
F-006,2026-08-25,Wheat,WB9719,54,Grain/Pod Filling,8.0,30.1,5.98,118.9,31.6,170.6,32.5,73.2,0.0,16.0,24.6,0.0,0.0,5.3,16,0.682,2.88
F-006,2026-08-26,Wheat,WB9719,55,Grain/Pod Filling,20.7,24.4,5.97,118.5,31.5,170.5,27.1,98.0,25.5,17.2,11.1,0.0,0.0,5.9,18,0.697,3.45
F-006,2026-08-27,Wheat,WB9719,56,Grain/Pod Filling,17.6,22.3,5.93,118.1,31.4,170.3,25.3,66.1,5.7,12.0,17.0,0.0,0.0,5.7,15,0.728,3.28
F-006,2026-08-28,Wheat,WB9719,57,Grain/Pod Filling,8.5,24.8,6.02,117.7,31.3,170.2,27.4,63.1,0.0,12.0,22.5,0.0,0.0,6.3,13,0.638,2.94
F-006,2026-08-29,Wheat,WB9719,58,Grain/Pod Filling,8.0,25.6,5.95,117.3,31.2,170.0,29.9,82.3,0.0,19.7,20.2,0.0,0.0,5.7,12,0.64,2.88
F-006,2026-08-30,Wheat,WB9719,59,Grain/Pod Filling,13.8,19.8,6.0,116.9,31.1,169.9,21.2,74.8,13.7,17.5,11.4,0.0,0.0,6.0,15,0.686,3.0
F-006,2026-08-31,Wheat,WB9719,60,Grain/Pod Filling,8.0,21.7,5.94,116.5,31.0,169.7,22.1,53.3,0.0,10.1,24.6,0.0,0.0,6.4,12,0.666,2.71
F-006,2026-09-01,Wheat,WB9719,61,Grain/Pod Filling,8.0,24.3,5.95,116.1,30.9,169.6,27.6,70.7,0.0,16.2,18.2,0.0,0.0,7.0,8,0.68,2.87
F-007,2026-08-18,Corn,Dekalb DKC64-35,53,Grain/Pod Filling,50.0,24.1,6.16,49.7,47.3,110.9,25.6,53.2,0.0,15.6,21.7,0.0,0.0,5.6,15,0.781,7.29
F-007,2026-08-19,Corn,Dekalb DKC64-35,54,Grain/Pod Filling,42.2,22.5,6.12,49.3,47.2,110.8,24.0,62.4,0.0,12.0,22.0,0.0,0.0,6.4,12,0.793,7.76
F-007,2026-08-20,Corn,Dekalb DKC64-35,55,Grain/Pod Filling,36.3,23.4,6.16,48.9,47.1,110.6,24.4,75.8,0.0,18.6,24.2,0.0,0.0,6.3,15,0.8,6.85
F-007,2026-08-21,Corn,Dekalb DKC64-35,56,Grain/Pod Filling,32.0,21.7,6.16,48.5,47.0,110.5,23.7,72.0,0.0,16.0,19.7,0.0,0.0,6.9,12,0.766,6.87
F-007,2026-08-22,Corn,Dekalb DKC64-35,57,Grain/Pod Filling,49.7,23.0,6.16,48.1,46.9,110.3,25.2,52.9,0.0,22.7,26.3,27.3,0.0,5.9,12,0.787,6.75
F-007,2026-08-23,Corn,Dekalb DKC64-35,58,Grain/Pod Filling,42.2,30.9,6.14,47.7,46.8,110.2,33.5,82.3,0.0,16.2,17.5,0.0,0.0,5.6,14,0.779,6.99
F-007,2026-08-24,Corn,Dekalb DKC64-35,59,Grain/Pod Filling,39.4,29.1,6.16,47.3,46.7,110.0,30.0,62.3,0.0,18.4,25.1,0.0,0.0,5.8,12,0.745,7.65
F-007,2026-08-25,Corn,Dekalb DKC64-35,60,Grain/Pod Filling,33.4,30.7,6.22,46.9,46.6,109.9,32.2,48.7,0.0,11.1,27.9,0.0,0.0,6.0,15,0.753,6.62
F-007,2026-08-26,Corn,Dekalb DKC64-35,61,Grain/Pod Filling,49.8,25.0,6.18,46.5,46.5,109.7,26.8,41.8,0.0,13.5,19.1,23.1,0.0,6.9,14,0.749,6.95
F-007,2026-08-27,Corn,Dekalb DKC64-35,62,Grain/Pod Filling,43.9,23.7,6.21,46.1,46.4,109.6,25.7,73.1,0.0,7.8,20.1,0.0,0.0,6.9,12,0.784,7.6
F-007,2026-08-28,Corn,Dekalb DKC64-35,63,Grain/Pod Filling,38.8,22.1,6.14,45.7,46.3,109.4,23.9,45.5,0.0,13.2,17.4,0.0,0.0,7.0,8,0.771,7.36
F-007,2026-08-29,Corn,Dekalb DKC64-35,64,Grain/Pod Filling,49.4,30.4,6.14,45.3,46.2,109.3,33.3,68.8,0.0,16.2,20.8,20.4,0.0,7.0,7,0.765,6.94
F-007,2026-08-30,Corn,Dekalb DKC64-35,65,Grain/Pod Filling,48.2,20.1,6.15,104.8,64.0,121.1,20.8,79.6,1.3,22.6,24.6,0.0,59.9,6.9,8,0.781,7.05
F-007,2026-08-31,Corn,Dekalb DKC64-35,66,Grain/Pod Filling,39.2,27.8,6.12,44.5,46.0,109.0,29.8,44.0,0.0,28.7,26.4,0.0,0.0,7.2,5,0.76,7.36
F-007,2026-09-01,Corn,Dekalb DKC64-35,67,Grain/Pod Filling,32.9,23.0,6.14,44.1,45.9,108.8,24.4,59.1,0.0,18.0,17.1,0.0,0.0,7.2,2,0.795,6.72
F-008,2026-08-18,Corn,Dekalb DKC64-35,61,Grain/Pod Filling,48.8,23.0,7.22,103.7,60.9,184.9,26.2,68.4,0.0,8.4,20.7,0.0,0.0,4.7,7,0.777,7.44
F-008,2026-08-19,Corn,Dekalb DKC64-35,62,Grain/Pod Filling,41.1,28.1,7.34,103.3,60.8,184.7,29.7,70.7,0.0,12.5,27.5,0.0,0.0,4.8,8,0.756,7.36
F-008,2026-08-20,Corn,Dekalb DKC64-35,63,Grain/Pod Filling,36.6,30.1,7.32,102.9,60.7,184.6,31.6,44.8,0.0,19.4,26.3,0.0,0.0,4.6,6,0.784,7.67
F-008,2026-08-21,Corn,Dekalb DKC64-35,64,Grain/Pod Filling,42.9,22.2,7.15,102.5,60.6,184.4,23.6,87.5,0.0,14.3,26.5,15.5,0.0,3.8,3,0.757,7.18
F-008,2026-08-22,Corn,Dekalb DKC64-35,65,Grain/Pod Filling,37.0,21.9,7.26,163.6,79.0,196.6,24.1,81.2,0.0,15.6,27.3,0.0,61.5,3.9,2,0.798,7.31
F-008,2026-08-23,Corn,Dekalb DKC64-35,66,Grain/Pod Filling,53.4,19.1,7.29,101.7,60.4,184.1,20.1,64.0,0.0,18.9,19.5,21.2,0.0,4.3,2,0.768,7.58
F-008,2026-08-24,Corn,Dekalb DKC64-35,67,Grain/Pod Filling,46.3,25.7,7.28,101.3,60.3,184.0,27.4,59.2,0.0,9.5,18.7,0.0,0.0,4.1,2,0.813,7.28
F-008,2026-08-25,Corn,Dekalb DKC64-35,68,Grain/Pod Filling,36.6,27.9,7.19,100.9,60.2,183.8,30.2,68.8,0.0,10.5,19.3,0.0,0.0,4.9,2,0.792,7.34
F-008,2026-08-26,Corn,Dekalb DKC64-35,69,Grain/Pod Filling,30.7,25.6,7.23,100.5,60.1,183.7,27.3,75.7,0.0,9.4,26.1,0.0,0.0,4.8,2,0.748,7.12
F-008,2026-08-27,Corn,Dekalb DKC64-35,70,Grain/Pod Filling,45.3,19.9,7.35,100.1,60.0,183.5,21.8,89.5,0.3,20.1,28.4,19.6,0.0,4.0,3,0.78,7.3
F-008,2026-08-28,Corn,Dekalb DKC64-35,71,Grain/Pod Filling,39.8,26.0,7.23,99.7,59.9,183.4,29.2,46.3,0.0,4.1,23.6,0.0,0.0,4.3,3,0.783,7.55
F-008,2026-08-29,Corn,Dekalb DKC64-35,72,Grain/Pod Filling,34.5,22.2,7.26,99.3,59.8,183.2,23.9,63.0,0.0,15.2,15.8,0.0,0.0,5.4,3,0.757,7.89
F-008,2026-08-30,Corn,Dekalb DKC64-35,73,Grain/Pod Filling,50.4,23.6,7.21,98.9,59.7,183.1,24.1,45.5,0.0,10.9,27.2,23.2,0.0,6.0,2,0.78,6.86
F-008,2026-08-31,Corn,Dekalb DKC64-35,74,Grain/Pod Filling,85.0,19.4,7.28,98.5,59.6,182.9,21.1,70.9,58.7,14.4,8.0,0.0,0.0,6.6,3,0.8,6.98
F-008,2026-09-01,Corn,Dekalb DKC64-35,75,Maturity,77.8,23.1,7.3,98.1,59.5,182.8,26.5,72.6,1.5,14.1,18.7,0.0,0.0,5.8,2,0.763,7.31
F-009,2026-08-18,Cotton,PhytoGen PHY400,84,Maturity,47.7,24.4,6.48,94.5,37.4,195.3,26.3,64.0,0.0,16.8,24.4,0.0,0.0,4.9,17,0.787,2.16
F-009,2026-08-19,Cotton,PhytoGen PHY400,85,Maturity,63.0,29.4,6.54,94.1,37.3,195.2,32.2,94.1,27.4,6.0,9.0,0.0,0.0,4.5,17,0.781,2.14
F-009,2026-08-20,Cotton,PhytoGen PHY400,86,Maturity,56.9,23.7,6.45,93.7,37.2,195.0,25.8,69.9,0.0,2.0,23.2,0.0,0.0,4.1,17,0.776,2.11
F-009,2026-08-21,Cotton,PhytoGen PHY400,87,Maturity,51.7,19.0,6.49,93.3,37.1,194.9,20.5,51.7,0.0,15.4,28.6,0.0,0.0,3.3,19,0.792,2.05
F-009,2026-08-22,Cotton,PhytoGen PHY400,88,Maturity,55.2,20.8,6.56,92.9,37.0,194.7,21.7,77.9,14.1,14.1,13.4,0.0,0.0,3.8,18,0.793,2.1
F-009,2026-08-23,Cotton,PhytoGen PHY400,89,Maturity,52.2,26.1,6.51,92.5,36.9,194.6,28.4,82.1,0.0,8.7,14.2,0.0,0.0,3.6,18,0.752,2.23
F-009,2026-08-24,Cotton,PhytoGen PHY400,90,Maturity,43.8,23.8,6.51,92.1,36.8,194.4,24.6,64.8,0.0,11.3,23.6,0.0,0.0,3.7,18,0.783,2.16
F-009,2026-08-25,Cotton,PhytoGen PHY400,91,Maturity,37.0,21.7,6.43,91.7,36.7,194.3,24.5,73.2,0.0,7.5,19.3,0.0,0.0,4.0,16,0.751,2.21
F-009,2026-08-26,Cotton,PhytoGen PHY400,92,Maturity,47.2,28.4,6.44,91.3,36.6,194.1,31.1,62.9,0.0,19.7,17.5,20.1,0.0,4.5,14,0.728,2.05
F-009,2026-08-27,Cotton,PhytoGen PHY400,93,Maturity,40.8,22.6,6.58,90.9,36.5,194.0,25.0,63.8,0.0,18.9,19.6,0.0,0.0,5.1,12,0.789,2.28
F-009,2026-08-28,Cotton,PhytoGen PHY400,94,Maturity,36.9,21.1,6.56,90.5,36.4,193.8,22.6,51.7,0.0,8.8,24.1,0.0,0.0,5.4,15,0.758,2.11
F-009,2026-08-29,Cotton,PhytoGen PHY400,95,Maturity,59.9,23.7,6.56,90.1,36.3,193.7,26.1,58.2,0.0,17.5,18.6,34.2,0.0,5.9,12,0.775,2.2
F-009,2026-08-30,Cotton,PhytoGen PHY400,96,Maturity,52.0,23.5,6.5,89.7,36.2,193.5,26.2,67.7,0.0,17.7,24.4,0.0,0.0,6.1,14,0.778,2.15
F-009,2026-08-31,Cotton,PhytoGen PHY400,97,Maturity,50.8,19.9,6.49,89.3,36.1,193.4,20.3,63.3,3.8,18.9,21.3,0.0,0.0,5.9,14,0.774,2.11
