field_id,date,crop_type,variety,crop_age_days,growth_stage,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,wind_speed,solar_radiation,irrigation_amount,fertilizer_amount,disease_score,pest_count,ndvi
F-011,2026-09-01,Wheat,WB9719,74,Grain/Pod Filling,9.962965343151819,27.9,6.12,148.4,46.2,151.0,37.076127153627056,60.0,0.0,15.7,18.3,0.0,0.0,73.5558643254488,4,0.4427351116827086
F-012,2026-09-01,Wheat,WB9719,76,Maturity,21.667676366052895,22.9,6.89,53.3,53.6,188.6,37.625980034517845,86.6,0.0,12.3,16.3,0.0,0.0,63.91535701679099,9,0.3641645368232534
F-013,2026-09-01,Soybean,Brevant B281EE,76,Maturity,14.018703082214724,20.8,6.93,107.6,12.8,86.6,40.59377599515641,60.0,0.0,19.0,21.4,0.0,0.0,83.75202414063611,9,0.471328393094237
F-014,2026-09-01,Wheat,SY Monument,69,Grain/Pod Filling,14.675990057488896,22.3,7.08,33.7,30.9,180.5,36.40130902162332,98.0,2.7,13.4,23.6,0.0,0.0,58.886537269829475,25,0.4433049095930367
F-015,2026-09-01,Soybean,Asgrow AG36X6,47,Flowering,20.75190133523295,28.5,6.72,122.1,53.1,187.8,37.6453506398212,63.2,0.0,7.8,20.6,31.2,0.0,53.28994177137933,11,0.47007758720379383
F-016,2026-09-01,Corn,NK Corn N78N,97,Maturity,14.596682371827386,28.1,7.19,15.0,47.9,144.5,40.65570346614084,81.0,3.9,12.6,22.1,0.0,0.0,61.26167301084138,7,0.359173293716041
F-017,2026-09-01,Corn,NK Corn N78N,87,Maturity,10.912843832777831,26.8,6.95,77.5,49.2,165.0,36.822447149006,58.3,0.0,10.7,17.2,0.0,0.0,70.3936482684437,7,0.49752344087653644
F-018,2026-09-01,Cotton,Stoneville ST4990,67,Grain/Pod Filling,10.377438660749519,26.4,6.32,91.8,60.0,68.0,35.759394257089355,61.0,0.0,10.2,14.5,0.0,0.0,50.62304596610869,14,0.5431715649273352
F-019,2026-09-01,Rice,Diamond Long-Grain,84,Maturity,11.409435205654184,26.9,6.82,117.0,40.5,150.4,36.366222318350935,60.0,0.0,13.3,15.3,0.0,0.0,74.37705270588829,6,0.575370542265638
F-020,2026-09-01,Wheat,WB9719,52,Grain/Pod Filling,21.00095724509066,18.5,7.12,143.4,19.5,183.0,35.78509824825921,93.0,0.8,9.4,21.3,0.0,0.0,79.7489169740144,16,0.5705006625581958
F-021,2026-09-01,Wheat,WB9719,82,Maturity,8.236324128612864,18.4,6.19,131.1,17.5,118.1,39.809522072300986,92.8,8.5,23.6,18.6,0.0,0.0,74.03922983066184,4,0.4453524395452929
F-022,2026-09-01,Rice,Titan Hybrid,66,Grain/Pod Filling,13.777552913088401,24.9,6.34,77.4,49.0,85.9,35.52327065770451,67.9,0.0,15.1,24.0,0.0,0.0,57.91325932585104,5,0.35335136356487085
F-023,2026-09-01,Cotton,Deltapine DP1646,59,Grain/Pod Filling,12.182826566924987,21.3,6.43,80.9,47.1,194.8,34.81575262187003,82.2,1.1,10.3,25.1,0.0,0.0,60.88120627477383,19,0.4530693779777788
F-024,2026-09-01,Rice,Titan Hybrid,76,Maturity,18.503091396761015,27.2,6.67,70.5,41.8,113.0,40.579900817230445,51.0,0.0,12.4,21.5,0.0,0.0,65.92048122412876,3,0.5137632744929652
F-025,2026-09-01,Corn,NK Corn N78N,61,Grain/Pod Filling,21.01528571117027,17.7,6.5,69.9,33.4,83.1,37.52376219108283,97.0,17.2,13.1,12.6,0.0,0.0,56.24562394186084,8,0.499382777616026
F-026,2026-09-01,Wheat,WB9719,49,Flowering,11.933760415372241,22.6,7.45,87.7,21.2,80.8,36.601921935727965,78.1,0.0,22.8,19.4,0.0,0.0,48.83728003379098,3,0.49880354479927447
F-027,2026-09-01,Soybean,Asgrow AG36X6,88,Maturity,10.061765026816134,28.3,5.94,85.6,26.3,149.4,40.49772487761401,64.6,0.0,17.0,20.4,0.0,0.0,78.42596206094542,9,0.5232895211604945
F-028,2026-09-01,Wheat,LCS Sonic,49,Flowering,20.38048543488337,22.3,6.41,151.9,59.0,121.8,37.1051429216648,62.7,0.0,7.8,23.7,0.0,0.0,75.26529240653214,2,0.5328922268413777
F-029,2026-09-01,Rice,Titan Hybrid,64,Grain/Pod Filling,13.722662433966665,20.0,6.76,78.2,59.8,97.2,35.09466325295182,63.0,0.0,21.1,27.8,0.0,0.0,50.504986758420614,4,0.48990034817317263
F-030,2026-09-01,Cotton,PhytoGen PHY400,92,Maturity,14.47703362731966,25.0,6.04,31.7,44.0,192.1,38.42545330052836,46.1,0.0,16.9,25.7,0.0,0.0,50.896009098797286,14,0.40565136811214275
F-031,2026-09-01,Rice,Diamond Long-Grain,57,Grain/Pod Filling,13.539048883786801,18.5,6.24,125.4,62.5,145.1,41.79333705010505,84.8,0.0,9.1,15.8,0.0,0.0,69.2453716106092,14,0.43844816837538236
F-032,2026-09-01,Corn,NK Corn N78N,97,Maturity,20.06151801922807,24.8,6.98,126.4,15.1,192.1,40.65426061763256,72.8,0.0,9.6,20.8,0.0,0.0,63.30495056958385,5,0.577357958693166
F-033,2026-09-01,Rice,Jupiter Medium,75,Maturity,16.71145764324645,25.8,6.2,37.3,40.4,192.5,36.48999999251492,73.2,0.0,16.8,21.9,0.0,0.0,60.33959363683583,11,0.4273256451801315
F-034,2026-09-01,Corn,Pioneer P1197,71,Grain/Pod Filling,16.363431746700968,21.8,7.35,65.0,23.2,152.1,38.80921676461759,95.2,9.8,20.1,13.9,0.0,0.0,46.565621181394484,2,0.5610159368837006
F-035,2026-09-01,Cotton,Stoneville ST4990,68,Grain/Pod Filling,10.821374755463342,21.6,7.28,60.2,51.2,125.5,35.68250330952503,48.2,0.0,14.8,18.2,0.0,0.0,48.51936781205771,5,0.46034257909225895
F-036,2026-09-01,Soybean,Brevant B281EE,49,Flowering,14.727973053665695,25.3,6.27,38.7,44.2,110.3,40.08583690520097,37.7,0.0,11.9,22.8,21.1,0.0,49.2284428792796,4,0.5036231412480919
F-037,2026-09-01,Corn,Dekalb DKC64-35,74,Grain/Pod Filling,34.7,22.4,5.79,75.3,22.2,156.5,24.1,89.0,0.0,18.9,22.9,0.0,0.0,54.7,9,0.66
F-038,2026-09-01,Cotton,Stoneville ST4990,85,Maturity,56.2,18.9,6.05,60.6,26.4,198.6,21.1,63.1,0.0,13.0,18.9,26.1,0.0,58.0,28,0.651
F-039,2026-09-01,Wheat,WB9719,67,Grain/Pod Filling,8.0,21.8,6.49,40.8,46.8,104.1,23.2,77.3,0.0,11.5,26.4,0.0,0.0,4.2,13,0.686
F-040,2026-09-01,Wheat,SY Monument,95,Maturity,34.6,21.8,6.93,112.5,46.1,184.6,22.8,83.6,0.0,11.4,24.2,0.0,0.0,5.3,2,0.738
F-041,2026-09-01,Corn,Pioneer P1197,89,Maturity,54.3,16.8,6.43,46.3,52.8,102.1,17.9,98.0,4.3,10.5,21.7,0.0,0.0,8.3,140,0.674
F-042,2026-09-01,Wheat,SY Monument,66,Grain/Pod Filling,8.0,25.4,6.75,124.8,29.8,86.0,26.8,60.3,0.0,17.8,20.8,0.0,0.0,3.1,6,0.648
F-043,2026-09-01,Soybean,Pioneer P31T77E,96,Maturity,44.8,24.1,6.04,131.3,43.3,78.1,27.4,47.0,0.0,21.7,18.5,15.0,0.0,4.0,107,0.693
F-044,2026-09-01,Corn,Pioneer P1197,96,Maturity,48.8,17.1,5.84,115.2,15.5,56.2,17.9,60.4,0.0,12.4,23.1,0.0,0.0,59.4,6,0.676
F-045,2026-09-01,Corn,NK Corn N78N,70,Grain/Pod Filling,48.2,26.8,6.71,70.9,24.3,117.2,29.1,66.0,0.0,11.0,20.9,0.0,0.0,58.3,14,0.641
F-046,2026-09-01,Cotton,Stoneville ST4990,76,Maturity,52.4,18.0,6.56,77.9,36.7,89.0,20.0,72.3,0.0,21.6,18.2,23.8,0.0,3.4,2,0.791
F-047,2026-09-01,Corn,NK Corn N78N,92,Maturity,55.9,25.3,5.97,106.5,59.7,98.9,28.4,48.0,0.0,14.2,31.2,0.0,0.0,2.6,6,0.789
F-048,2026-09-01,Wheat,LCS Sonic,97,Maturity,8.0,26.3,6.69,101.4,38.5,67.2,29.2,54.5,0.0,11.6,25.8,0.0,0.0,8.9,2,0.67
F-049,2026-09-01,Rice,Titan Hybrid,85,Maturity,62.7,23.2,6.9,41.1,24.3,72.7,24.2,61.7,0.0,17.5,24.3,32.1,0.0,3.0,18,0.768
F-050,2026-09-01,Corn,Dekalb DKC64-35,68,Grain/Pod Filling,35.4,26.0,6.85,61.8,48.1,194.8,28.3,85.2,0.0,16.8,13.2,0.0,0.0,8.3,10,0.75
F-051,2026-09-01,Soybean,Pioneer P31T77E,56,Grain/Pod Filling,38.5,25.7,5.84,96.5,33.1,190.7,27.0,66.0,0.0,15.3,27.6,0.0,0.0,2.9,2,0.808
F-052,2026-09-01,Soybean,Brevant B281EE,71,Grain/Pod Filling,33.7,25.4,6.48,85.0,42.6,63.3,27.6,77.0,0.0,11.4,20.4,0.0,0.0,4.5,6,0.798
F-053,2026-09-01,Cotton,PhytoGen PHY400,77,Maturity,52.8,17.4,6.78,70.4,56.9,114.8,18.0,59.5,0.0,12.2,17.3,0.0,0.0,4.6,13,0.795
F-054,2026-09-01,Soybean,Pioneer P31T77E,51,Grain/Pod Filling,68.4,27.5,6.4,60.0,38.8,140.7,30.8,63.4,0.0,5.8,23.2,0.0,0.0,4.7,3,0.791
F-055,2026-09-01,Corn,NK Corn N78N,78,Maturity,8.0,22.8,5.97,29.8,14.0,89.7,23.1,65.2,0.0,12.5,18.2,0.0,0.0,5.3,2,0.689
F-056,2026-09-01,Soybean,Pioneer P31T77E,46,Flowering,33.5,19.6,6.79,147.7,62.7,118.2,20.8,58.6,0.0,16.4,23.1,0.0,0.0,5.8,16,0.757
F-057,2026-09-01,Cotton,PhytoGen PHY400,75,Maturity,8.0,26.4,7.41,50.2,29.7,194.1,28.6,71.5,0.0,16.8,29.9,0.0,0.0,5.5,2,0.639
F-058,2026-09-01,Wheat,WB9719,66,Grain/Pod Filling,50.7,22.8,7.05,134.7,44.2,179.9,23.4,85.5,11.2,22.2,18.5,18.2,0.0,7.1,12,0.803
F-059,2026-09-01,Rice,Titan Hybrid,88,Maturity,42.0,27.1,6.0,30.7,28.2,179.7,28.6,60.5,0.0,8.7,24.5,24.7,0.0,2.1,11,0.778
F-060,2026-09-01,Cotton,Deltapine DP1646,87,Maturity,38.0,25.6,6.74,100.0,50.8,191.1,28.1,66.9,0.0,20.6,15.5,0.0,0.0,7.6,2,0.761
